datetime,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
2021-08-16 09:30:00,10.0,1.0,705.0,0.0,11.0,1.0,705.4,0.0
2021-08-16 09:35:00,1.0,65.0,702.19,0.0,1.0,1.0,702.45,0.0
2021-08-16 09:40:00,1.0,73.0,701.74,0.0,1.0,17.0,702.17,0.0
2021-08-16 09:45:00,4.0,1.0,699.15,0.0,1.0,73.0,699.44,0.0
2021-08-16 09:50:00,1.0,60.0,692.17,0.0,1.0,43.0,692.47,0.0
2021-08-16 09:55:00,1.0,7.0,691.34,0.0,1.0,68.0,691.65,0.0
2021-08-16 10:00:00,1.0,60.0,691.16,0.0,4.0,73.0,691.35,0.0
2021-08-16 10:05:00,1.0,65.0,690.08,0.0,1.0,1.0,690.35,0.0
2021-08-16 10:10:00,1.0,7.0,685.0,0.0,1.0,43.0,685.2,0.0
2021-08-16 10:15:00,1.0,68.0,680.6,0.0,3.0,1.0,680.76,0.0
2021-08-16 10:20:00,1.0,68.0,682.36,0.0,1.0,7.0,682.49,0.0
2021-08-16 10:25:00,1.0,7.0,683.5,0.0,1.0,7.0,683.69,0.0
2021-08-16 10:30:00,1.0,60.0,681.49,0.0,1.0,1.0,681.68,0.0
2021-08-16 10:35:00,2.0,60.0,682.2,0.0,1.0,7.0,682.5,0.0
2021-08-16 10:40:00,1.0,65.0,684.56,0.0,1.0,7.0,684.73,0.0
2021-08-16 10:45:00,1.0,73.0,683.95,0.0,1.0,65.0,684.14,0.0
2021-08-16 10:50:00,1.0,11.0,685.13,0.0,2.0,65.0,685.41,0.0
2021-08-16 10:55:00,1.0,1.0,681.7,0.0,2.0,68.0,682.01,0.0
2021-08-16 11:00:00,1.0,7.0,679.35,0.0,1.0,1.0,679.51,0.0
2021-08-16 11:05:00,1.0,7.0,679.15,0.0,1.0,1.0,679.25,0.0
2021-08-16 11:10:00,2.0,1.0,680.15,0.0,1.0,1.0,680.21,0.0
2021-08-16 11:15:00,2.0,7.0,681.25,0.0,2.0,60.0,681.38,0.0
2021-08-16 11:20:00,1.0,7.0,681.84,0.0,3.0,60.0,682.05,0.0
2021-08-16 11:25:00,1.0,7.0,680.52,0.0,1.0,7.0,680.75,0.0
2021-08-16 11:30:00,1.0,7.0,680.69,0.0,1.0,64.0,680.9,0.0
2021-08-16 11:35:00,2.0,1.0,683.18,0.0,1.0,1.0,683.32,0.0
2021-08-16 11:40:00,1.0,73.0,684.93,0.0,2.0,1.0,685.08,0.0
2021-08-16 11:45:00,1.0,43.0,684.91,0.0,1.0,65.0,685.04,0.0
2021-08-16 11:50:00,1.0,68.0,684.34,0.0,1.0,73.0,684.56,0.0
2021-08-16 11:55:00,2.0,60.0,684.08,0.0,6.0,73.0,684.21,0.0
2021-08-16 12:00:00,1.0,65.0,683.42,0.0,1.0,68.0,683.62,0.0
2021-08-16 12:05:00,1.0,7.0,683.11,0.0,1.0,1.0,683.19,0.0
2021-08-16 12:10:00,1.0,60.0,683.11,0.0,1.0,1.0,683.2,0.0
2021-08-16 12:15:00,1.0,73.0,684.27,0.0,2.0,1.0,684.38,0.0
2021-08-16 12:20:00,1.0,68.0,683.42,0.0,1.0,43.0,683.56,0.0
2021-08-16 12:25:00,2.0,60.0,682.4,0.0,2.0,65.0,682.5,0.0
2021-08-16 12:30:00,1.0,1.0,681.61,0.0,1.0,68.0,681.78,0.0
2021-08-16 12:35:00,1.0,7.0,680.58,0.0,1.0,43.0,680.8,0.0
2021-08-16 12:40:00,1.0,65.0,680.86,0.0,1.0,73.0,680.94,0.0
2021-08-16 12:45:00,1.0,73.0,681.54,0.0,1.0,1.0,681.66,0.0
2021-08-16 12:50:00,1.0,65.0,681.92,0.0,1.0,1.0,682.09,0.0
2021-08-16 12:55:00,1.0,60.0,681.05,0.0,1.0,7.0,681.22,0.0
2021-08-16 13:00:00,2.0,1.0,681.11,0.0,1.0,73.0,681.3,0.0
2021-08-16 13:05:00,2.0,65.0,681.3,0.0,1.0,64.0,681.46,0.0
2021-08-16 13:10:00,1.0,1.0,681.12,0.0,1.0,68.0,681.29,0.0
2021-08-16 13:15:00,1.0,73.0,681.07,0.0,1.0,64.0,681.18,0.0
2021-08-16 13:20:00,1.0,68.0,681.44,0.0,1.0,1.0,681.65,0.0
2021-08-16 13:25:00,1.0,1.0,681.76,0.0,1.0,1.0,681.89,0.0
2021-08-16 13:30:00,3.0,7.0,681.13,0.0,2.0,43.0,681.29,0.0
2021-08-16 13:35:00,2.0,65.0,681.19,0.0,1.0,64.0,681.3,0.0
2021-08-16 13:40:00,1.0,73.0,681.34,0.0,1.0,43.0,681.54,0.0
2021-08-16 13:45:00,1.0,3.0,683.41,0.0,1.0,1.0,683.58,0.0
2021-08-16 13:50:00,1.0,65.0,685.1,0.0,1.0,1.0,685.2,0.0
2021-08-16 13:55:00,1.0,43.0,684.95,0.0,1.0,1.0,685.14,0.0
2021-08-16 14:00:00,1.0,43.0,685.04,0.0,1.0,64.0,685.19,0.0
2021-08-16 14:05:00,1.0,7.0,685.22,0.0,1.0,1.0,685.31,0.0
2021-08-16 14:10:00,1.0,73.0,686.07,0.0,1.0,43.0,686.21,0.0
2021-08-16 14:15:00,2.0,43.0,687.63,0.0,1.0,73.0,687.78,0.0
2021-08-16 14:20:00,1.0,43.0,686.48,0.0,1.0,68.0,686.55,0.0
2021-08-16 14:25:00,2.0,1.0,685.61,0.0,1.0,60.0,685.8,0.0
2021-08-16 14:30:00,1.0,1.0,684.91,0.0,2.0,43.0,685.08,0.0
2021-08-16 14:35:00,2.0,1.0,684.63,0.0,1.0,1.0,684.81,0.0
2021-08-16 14:40:00,1.0,68.0,683.14,0.0,1.0,1.0,683.28,0.0
2021-08-16 14:45:00,2.0,60.0,683.72,0.0,2.0,43.0,683.85,0.0
2021-08-16 14:50:00,1.0,60.0,684.64,0.0,1.0,7.0,684.73,0.0
2021-08-16 14:55:00,1.0,7.0,684.82,0.0,1.0,65.0,685.0,0.0
2021-08-16 15:00:00,1.0,1.0,685.59,0.0,1.0,43.0,685.7,0.0
2021-08-16 15:05:00,1.0,65.0,684.51,0.0,2.0,43.0,684.62,0.0
2021-08-16 15:10:00,2.0,7.0,684.75,0.0,1.0,60.0,684.88,0.0
2021-08-16 15:15:00,2.0,43.0,685.99,0.0,1.0,43.0,686.23,0.0
2021-08-16 15:20:00,3.0,1.0,687.67,0.0,1.0,64.0,687.8,0.0
2021-08-16 15:25:00,1.0,7.0,687.16,0.0,1.0,43.0,687.3,0.0
2021-08-16 15:30:00,2.0,43.0,686.81,0.0,2.0,1.0,686.99,0.0
2021-08-16 15:35:00,10.0,1.0,684.24,0.0,1.0,68.0,684.43,0.0
2021-08-16 15:40:00,7.0,4.0,683.59,0.0,1.0,1.0,683.7,0.0
2021-08-16 15:45:00,1.0,65.0,682.72,0.0,1.0,43.0,682.85,0.0
2021-08-16 15:50:00,1.0,68.0,684.06,0.0,2.0,73.0,684.3,0.0
2021-08-16 15:55:00,2.0,60.0,684.35,0.0,1.0,1.0,684.44,0.0
2021-08-17 09:30:00,13.0,7.0,672.65,0.0,6.0,1.0,672.66,0.0
2021-08-17 09:35:00,3.0,7.0,669.63,0.0,1.0,65.0,669.85,0.0
2021-08-17 09:40:00,1.0,65.0,670.66,0.0,1.0,60.0,671.08,0.0
2021-08-17 09:45:00,1.0,1.0,672.41,0.0,1.0,7.0,672.79,0.0
2021-08-17 09:50:00,1.0,1.0,670.41,0.0,1.0,1.0,670.65,0.0
2021-08-17 09:55:00,1.0,1.0,664.0,0.0,1.0,1.0,664.19,0.0
2021-08-17 10:00:00,1.0,65.0,664.5,0.0,2.0,43.0,664.85,0.0
2021-08-17 10:05:00,2.0,43.0,665.0,0.0,1.0,60.0,665.23,0.0
2021-08-17 10:10:00,1.0,73.0,664.59,0.0,1.0,11.0,664.84,0.0
2021-08-17 10:15:00,2.0,43.0,663.16,0.0,2.0,43.0,663.51,0.0
2021-08-17 10:20:00,9.0,60.0,662.45,0.0,1.0,43.0,662.6,0.0
2021-08-17 10:25:00,2.0,1.0,664.53,0.0,1.0,7.0,664.77,0.0
2021-08-17 10:30:00,1.0,64.0,667.08,0.0,1.0,1.0,667.23,0.0
2021-08-17 10:35:00,1.0,64.0,664.66,0.0,1.0,43.0,664.89,0.0
2021-08-17 10:40:00,1.0,7.0,667.03,0.0,2.0,1.0,667.21,0.0
2021-08-17 10:45:00,1.0,1.0,669.49,0.0,2.0,43.0,669.79,0.0
2021-08-17 10:50:00,2.0,43.0,669.43,0.0,1.0,73.0,669.72,0.0
2021-08-17 10:55:00,1.0,1.0,666.91,0.0,1.0,1.0,667.11,0.0
2021-08-17 11:00:00,4.0,60.0,665.82,0.0,18.0,73.0,666.09,0.0
2021-08-17 11:05:00,3.0,60.0,663.4,0.0,1.0,60.0,663.65,0.0
2021-08-17 11:10:00,1.0,1.0,662.59,0.0,1.0,43.0,662.77,0.0
2021-08-17 11:15:00,1.0,68.0,663.61,0.0,1.0,68.0,663.84,0.0
2021-08-17 11:20:00,1.0,7.0,663.75,0.0,2.0,43.0,663.96,0.0
2021-08-17 11:25:00,2.0,60.0,662.66,0.0,1.0,43.0,662.85,0.0
2021-08-17 11:30:00,3.0,1.0,660.1,0.0,3.0,7.0,660.17,0.0
2021-08-17 11:35:00,1.0,68.0,660.54,0.0,1.0,73.0,660.69,0.0
2021-08-17 11:40:00,1.0,7.0,659.24,0.0,1.0,1.0,659.37,0.0
2021-08-17 11:45:00,1.0,63.0,660.27,0.0,1.0,1.0,660.43,0.0
2021-08-17 11:50:00,1.0,60.0,661.08,0.0,1.0,1.0,661.24,0.0
2021-08-17 11:55:00,9.0,65.0,659.5,0.0,2.0,43.0,659.72,0.0
2021-08-17 12:00:00,2.0,1.0,656.5,0.0,2.0,43.0,656.71,0.0
2021-08-17 12:05:00,5.0,1.0,655.71,0.0,1.0,7.0,655.8,0.0
2021-08-17 12:10:00,1.0,7.0,657.01,0.0,1.0,1.0,657.15,0.0
2021-08-17 12:15:00,5.0,73.0,656.7,0.0,2.0,43.0,656.82,0.0
2021-08-17 12:20:00,1.0,60.0,657.16,0.0,1.0,7.0,657.36,0.0
2021-08-17 12:25:00,1.0,43.0,656.74,0.0,2.0,1.0,657.0,0.0
2021-08-17 12:30:00,1.0,9.0,658.71,0.0,1.0,60.0,658.97,0.0
2021-08-17 12:35:00,1.0,73.0,657.96,0.0,2.0,1.0,658.17,0.0
2021-08-17 12:40:00,1.0,65.0,656.84,0.0,1.0,9.0,657.14,0.0
2021-08-17 12:45:00,1.0,1.0,654.0,0.0,1.0,60.0,654.2,0.0
2021-08-17 12:50:00,5.0,4.0,653.91,0.0,1.0,68.0,654.03,0.0
2021-08-17 12:55:00,1.0,60.0,653.53,0.0,2.0,43.0,653.72,0.0
2021-08-17 13:00:00,1.0,43.0,652.44,0.0,2.0,43.0,652.72,0.0
2021-08-17 13:05:00,1.0,43.0,652.95,0.0,1.0,43.0,653.17,0.0
2021-08-17 13:10:00,1.0,1.0,654.89,0.0,10.0,1.0,655.11,0.0
2021-08-17 13:15:00,2.0,43.0,654.56,0.0,1.0,73.0,654.73,0.0
2021-08-17 13:20:00,1.0,1.0,654.29,0.0,2.0,1.0,654.5,0.0
